name, line
Woman, "Thanks."
Guard, "No."
Guard, "Hands up. Hands up!"
Hopper, "Whoa, whoa, whoa, whoa, whoa, whoa."
Guard, "Forgot all the cameras, bub?"
Hopper, "Look, Dr. Brenner asked for me specifically. Okay?"
Hopper, "How else do you think I got in here?"
Guard, "What's your name again?"
Hopper, "It's Jim Hopper."
Hopper, "Chief Jim Hopper."
Guard, "Yeah, I've got Jim Hopper..."
Man on Radio, "Come again?"
Lonnie, "Drink."
Lonnie, "It'll calm your nerves."
Lonnie, "Help you think straight, yeah?"
Joyce, "I don't know what to do."
Lonnie, "I know. I know."
Joyce, "This whole time..."
Joyce, "I... I could... I could feel him."
Joyce, "He was..."
Joyce, "He was so close. He was... he was right there."
Joyce, "I knew he was alive."
Joyce, "Our hands... our hands were almost touching."
Joyce, "Now it's like I... uh..."
Joyce, "God, it's like I can't feel him anymore."
Lonnie, "Don't look at me like that."
Joyce, "Like what?"
Lonnie, "Like how everybody is looking at me."
Joyce, "Like I'm out of my damn mind."
Lonnie, "Hey."
Lonnie, "You're not gonna like this,"
Lonnie, "but I think you need to seriously consider the possibility that all this..."
Lonnie, "It's in your head."
Joyce, "You remember your Aunt Darlene?"
Joyce, "No."
Joyce, "No, this is not that."
Lonnie, "I mean, when something like this happens,"
Lonnie, "your mind makes up stuff for you to cope, you know?"
Lonnie, "I mean, Jesus, there's a funeral tomorrow for our little boy"
Lonnie, "and you're saying his body is fake."
Joyce, "He's in the wall."
Joyce, "I mean, how do you explain that?"
Lonnie, "It just doesn't make sense. It doesn't."
Lonnie, "At least go talk to a shrink or..."
Joyce, "I don't... Well, they can't help."
Lonnie, "Joyce, you just told me..."
Lonnie, "that Will is gone."
Lonnie, "What else is there to do?"
Hopper, "Will?"
Hopper, "Will?"
Hopper, "Will?"
Hopper, "Will?"
Mike, "What was Will saying?"
Mike, "Like home... Like home..."
Mike, "but dark?"
Lucas, "And empty."
Dustin, "Empty and cold. Wait, did he say cold?"
Mike, "I don't know. The stupid radio kept going in and out."
Dustin, "It's like riddles in the dark."
Mike, "Like home. Like his house?"
Lucas, "Or maybe like Hawkins."
Eleven, "Upside down."
Mike, "What'd she say?"
Lucas, "Upside down."
Lucas, "What?"
Mike, "Upside down."
Mike, "When El showed us where Will was, she flipped the board over, remember?"
Mike, "Upside down."
Mike, "Dark. Empty."
Lucas, "Do you understand what he's talking about?"
Dustin, "No."
Mike, "Guys, come on, think about it."
Mike, "When El took us to find Will, she took us to his house, right?"
Lucas, "Yeah. And he wasn't there."
Mike, "But what if he was there?"
Mike, "What if we just couldn't see him?"
Mike, "What if he was on the other side?"
Mike, "What if this is Hawkins and..."
Mike, "this is where Will is?"
Mike, "The Upside Down."
Lucas, "Like the Vale of Shadows."
Hopper, "Will?"
Hopper, "Will?"
Hopper, "Will?"
Guard, "I see him! Hey! Stop!"
Dustin, "The Vale of Shadows"
Dustin, "is a dimension that is a dark reflection or echo of our world."
Dustin, "It is a place of decay and death."
Hopper, "Will?"
Dustin, "A plane out of phase. A place of monsters."
Dustin, "It is right next to you, and you don't even see it."
Hopper, "Will?"
Hopper, "Will?"
Lucas, "An alternate dimension."
Mike, "But... how... how do we get there?"
Dustin, "You cast Shadow Walk."
Mike, "In real life, dummy."
Dustin, "We can't shadow walk, but..."
Dustin, "maybe she can."
Mike, "Do you know how we get there? To the Upside Down?"
Dustin, "Oh, my God!"
Hopper, "Hey!"
Hopper, "Hey! Hey!"
Karen, "Hey, kid."
Karen, "What's going on?"
Karen, "Your dad's, uh, gonna stay here tonight. On the couch."
Lonnie, "Yeah, I'm here as long as you need me, okay?"
Karen, "How are you holding up?"
Jonathan, "What happened?"
Karen, "Don't worry about that."
Jonathan, "Mom..."
Jonathan, "that thing you saw before, did it come back?"
Lonnie, "Jonathan, that's enough."
Jonathan, "Can we talk?"
Jonathan, "Alone?"
Jonathan, "You need to leave."
Lonnie, "Look, I know you're upset."
Lonnie, "We all are."
Lonnie, "But you need to listen to me. Your mother is sick. Really sick."
Jonathan, "Yeah. Well, you being here,"
Jonathan, "you're just making things worse, like always."
Lonnie, "Worse?"
Jonathan, "Yeah!"
Jonathan, "She took down that wall with an ax."
Jonathan, "She said that Will was inside and that he's talking to her."
Lonnie, "Yeah. Maybe he was."
Jonathan, "This isn't some kind of joke."
Lonnie, "Your mom was half frozen to death when I got here."
Lonnie, "Trembling, scared out of her mind."
Lonnie, "You come in here and you start feeding into her hallucinations"
Lonnie, "or whatever the hell you want to call it,"
Lonnie, "you're gonna push her right over the edge."
Lonnie, "You hear me?"
Lonnie, "Look, I'm on your side."
Lonnie, "I'm here to help."
Lonnie, "I'm gonna make things better around here for all of us."
Jonathan, "Thank God you're here."
Lonnie, "Do me a favor. At the funeral tomorrow, just behave."
Lonnie, "If not for me, for your mother."
Jonathan, "Take that down. It's inappropriate."
Ted, "Good."
Nancy, "Ah! Dad, you're... you're choking me."
Ted, "Ah... there. It's supposed to be a little tight."
Ted, "Looks good."
Karen, "You look nice, sweetie."
Nancy, "Anything else?"
Karen, "You can borrow my black heels if you want."
Karen, "The ones you wore to Cathy's birthday."
Nancy, "I'm fine. Thanks."
Pastor Charles, "Fear not, for I am with you."
Pastor Charles, "Be not dismayed, for I am your God."
Pastor Charles, "I will strengthen you."
Pastor Charles, "Yes, I will help you."
Pastor Charles, "I will uphold you with my righteous right hand."
Pastor Charles, "It's times like these that our faith is challenged."
Pastor Charles, "How, if He is truly benevolent..."
Pastor Charles, "could God take from us someone so young, so innocent?"
Pastor Charles, "It would be easy to turn away from God..."
Pastor Charles, "but we must remember that nothing,"
Pastor Charles, "not even tragedy, can separate us from His love."
Pastor Charles, "We are here today to find comfort in the truth of scripture,"
Pastor Charles, "and to surround Will and his family..."
Karen, "I'm so, so sorry."
Joyce, "Oh, thank you so much for coming."
Karen, "Yeah, if there's anything we can do..."
Joyce, "I appreciate it. Thank you so much."
Joyce, "Take care, all right? Thanks."
Joyce, "Thanks for coming out."
Holly, "I see Will the Wise is back."
Jonathan, "What's that shooting out of his cane?"
Holly, "Fireballs."
Holly, "I couldn't find the red crayon, so that's why it's green."
Jonathan, "Oh, well..."
Jonathan, "if he's so wise, why does he need fireballs?"
Jonathan, "Why can't he just, you know, outsmart the bad guys?"
Holly, "Most of the time, yeah, totally."
Holly, "But... sometimes the bad guys are smart, too."
Holly, "You know?"
Jonathan, "Yeah."
Holly, "So he needs the fireballs?"
Jonathan, "Well, yeah, to burn them to a crisp."
Jonathan, "All right. Well, I don't know who's been raising you,"
Jonathan, "but I'm gonna get you some new crayons"
Jonathan, "because it looks like he's shooting cabbages."
Lucas, "Will! Will, it's us! Are you there?"
Dustin, "Can you hear us? We're here!"
Will, "Hello? Mom?"
Lucas, "Why can't he hear us?"
Mike, "I don't know!"
Will, "Mom, it's coming!"
Jonathan, "She was there."
Nancy, "This is where we know for sure it's been, right?"
Jonathan, "So, that's..."
Nancy, "Steve's house."
Nancy, "And that's the woods where they found Will's bike and..."
Nancy, "that's my house."
Jonathan, "It's all so close."
Nancy, "Yeah. Exactly."
Nancy, "I mean, it's all within a mile or something."
Nancy, "Whatever this thing is, it's... it's not traveling far."
Jonathan, "You want to go out there."
Nancy, "We might not find anything."
Jonathan, "I found something."
Jonathan, "And if we do see it..."
Jonathan, "then what?"
Nancy, "We kill it."
Nancy, "What are you doing?"
Jonathan, "Just give me a second."
Nancy, "Are you serious?"
Nancy, "What? You want to find this thing and take another photo? Yell at it?"
Jonathan, "This is a terrible idea."
Nancy, "Yeah, well, it's the best we've got."
Nancy, "What? You can tell someone, but they're not gonna believe you."
Nancy, "You know that."
Jonathan, "Your mom would."
Nancy, "She's been through enough."
Jonathan, "She deserves to know."
Nancy, "Yeah, and I'll tell her..."
Nancy, "when this thing is dead."
Mike, "I don't know what in the world caused it."
Repairman, "Let's take a look, huh?"
Mike, "Mr. Clarke says he's never seen anything like it."
Repairman, "Mr. Clarke?"
Mike, "Yeah, he runs the AV Club."
Repairman, "That right?"
Repairman, "Apparently, some of the less athletic types go nuts for this stuff."
Mike, "Mr. Clarke?"
Mr. Clarke, "Oh, hey, there."
Mr. Clarke, "How are you boys holding up?"
Mike, "We're... in... mourning."
Dustin, "Man, these aren't real Nilla Wafers."
Mike, "We were wondering if you had time to talk?"
Lucas, "We have some questions."
Dustin, "A lot of questions."
Mike, "So, you know how in Cosmos, Carl Sagan talks about other dimensions?"
Mike, "Like, beyond our world?"
Mr. Clarke, "Yeah, sure. Theoretically."
Mike, "Right, theoretically."
Lucas, "So, theoretically, how do we travel there?"
Mr. Clarke, "You guys have been thinking about"
Mr. Clarke, "Hugh Everett's Many-Worlds Interpretation, haven't you?"
Mr. Clarke, "Well, basically, there are parallel universes."
Mr. Clarke, "Just like our world,"
Mr. Clarke, "but just infinite variations of it."
Mr. Clarke, "Which means there's a world out there"
Mr. Clarke, "where none of this tragic stuff ever happened."
Mike, "Yeah, that's not what we're talking about."
Mr. Clarke, "Oh."
Lucas, "We were thinking of more"
Lucas, "of an evil dimension, like the Vale of Shadows."
Lucas, "You know the Vale of Shadows?"
Mr. Clarke, "An echo of the Material Plane, where necrotic and shadow magic..."
Mike, "Yeah, exactly."
Mike, "If that did exist, a place like the Vale of Shadows,"
Mike, "how would we travel there?"
Lucas, "Theoretically."
Mr. Clarke, "Well..."
Mr. Clarke, "Picture... an acrobat..."
Mr. Clarke, "standing on a tightrope."
Mr. Clarke, "Now, the tightrope is our dimension."
Mr. Clarke, "And our dimension has rules."
Mr. Clarke, "You can move forwards, or backwards."
Mr. Clarke, "But, what if..."
Mr. Clarke, "right next to our acrobat, there is a flea?"
Mr. Clarke, "Now, the flea can also travel back and forth, just like the acrobat."
Mr. Clarke, "Right?"
Mike, "Right."
Mr. Clarke, "Here's where things get really interesting."
Mr. Clarke, "The flea can also travel this way..."
Mr. Clarke, "along the side of the rope."
Mr. Clarke, "He can even go..."
Mr. Clarke, "underneath the rope."
Mike, "Upside down."
Lucas, "Upside down."
Mr. Clarke, "Exactly."
Mike, "But we're not the flea, we're the acrobat."
Mr. Clarke, "In this metaphor, yes, we're the acrobat."
Lucas, "So we can't go upside down?"
Mr. Clarke, "No."
Mike, "Well, is there any way for the acrobat to get to the Upside Down?"
Mr. Clarke, "Well... you'd have to create a massive amount of energy."
Mr. Clarke, "More than humans are currently capable of creating, mind you,"
Mr. Clarke, "to open up some kind of tear in time and space,"
Mr. Clarke, "and then..."
Mr. Clarke, "you create a doorway."
Lucas, "Like a gate?"
Mr. Clarke, "Sure. Like a gate."
Mr. Clarke, "But again, this is all..."
Mike, "Theoretical."
Lucas, "But... but what if this gate already existed?"
Mr. Clarke, "Well, if it did, I... I think we'd know."
Mr. Clarke, "It would disrupt gravity,"
Mr. Clarke, "the magnetic field, our environment."
Mr. Clarke, "Heck, it might even swallow us up whole."
Mr. Clarke, "Science is neat."
Mr. Clarke, "But I'm afraid it's not very forgiving."
Powell, "Hey, Chief!"
Powell, "Jesus, Chief. You all right?"
Hopper, "What are you doing here?"
Powell, "We tried calling, but..."
Hopper, "Yeah, the phone's dead."
Powell, "Hey, so Bev Mooney came in this morning all upset."
Powell, "Said that Dale and Henry went hunting yesterday..."
Powell, "and they didn't come back home."
Powell, "She thought they were on another binger, but she's not so sure now."
Powell, "I think this whole Will Byers thing has everybody on edge."
Hopper, "Where was this?"
Powell, "It was at the station."
Hopper, "No, no. Where did Henry and Dale go hunting?"
Powell, "Oh. Uh, out near Kerley."
Hopper, "Mirkwood."
Powell, "What?"
Hopper, "Okay."
Hopper, "You go back to the station. I'll take care of this, all right?"
Powell, "Are you sure?"
Hopper, "Yeah, leave it."
Powell, "Oh, hey. Uh, they found Barbara's car."
Hopper, "What?"
Powell, "Barbara Holland's car. Seems she ran away after all."
Powell, "Staties found it late last night at a bus station."
Powell, "Funny, right? They keep doing our job for us."
Hopper, "Yeah. It's funny."
Callahan, "Is he off his meds again?"
Powell, "He's been spending too much time with Joyce Byers."
Powell, "That's what I think."
Joyce, "What are you doing?"
Lonnie, "What does it look like I'm doing?"
Lonnie, "You want to freeze to death all winter?"
Joyce, "I told you not to take these down."
Lonnie, "They were in the way, babe."
Lonnie, "How long are you gonna keep those up? I mean, really?"
Lonnie, "You know, it's a shame what they've done to this family."
Joyce, "What?"
Lonnie, "The Sattler Company."
Lonnie, "I went to the quarry on the way over here."
Lonnie, "I just wanted to look around, you know?"
Lonnie, "Couldn't believe it. I just couldn't believe it."
Lonnie, "No warning signs, no fence, no nothing."
Lonnie, "Ought to be held accountable if you ask me."
Mike, "It would take a lot of energy to build a gate like this."
Lucas, "But that's got to be what happened."
Dustin, "Otherwise, how'd Will get there, right?"
Mike, "Right."
Lucas, "What we want to know is, do you know where the gate is?"
Mike, "Then how do you know about the Upside Down?"
