name,line
name,line
Mike,"Eleven."
Eleven,"Mike."
Mike,"Is that... I never gave up on you. I called you every night. Every night for..."
Eleven,"353 days. I heard."
Mike,"Why didn't you tell me you were there? That you were okay?"
Hopper,"Because I wouldn't let her."
Mike,"The hell is this? Where you been?"
Eleven,"Where have you been?"
Mike,"You've been hiding her. You've been hiding her this whole time!"
Hopper,"Hey! Let's talk. Alone."
Mike,"Protecting her! Protecting her?"
Hopper,"Listen. Listen to me. The more people know about her, the more danger she's in. And the more danger you and your family are in..."
Mike,"So I should be thanking you?"
Hopper,"I'm not asking you to thank me! I'm asking you to try to understand."
Mike,"I don't! I don't understand!"
Hopper,"That's fine. That's fine! Just do not blame her! All right? She's upset enough as it is."
Mike,"I don't blame her! I blame you! I blame you!"
Hopper,"That's okay, kid. That's okay."
Mike,"No! Nothing about this is okay! Nothing about this is okay!"
Hopper,"Oh, jeez..."
Mike,"You're a stupid, disgusting, lying piece of shit!"
Hopper,"Okay. All right! Stop it."
Mike,"Liar! Liar! Liar!"
Hopper,"Stop it. It's okay."
Mike,"Stop it! Stop it! Liar! Liar!"
Hopper,"You're okay, kid. You're okay. I'm sorry, kid."
Lucas,"We missed you."
Eleven,"I missed you, too."
Dustin,"We talked about you pretty much every day."
Eleven,"Teeth."
Dustin,"What?"
Eleven,"You have teeth."
Dustin,"Oh. You like these pearls?"
Max,"Eleven? Hey. Um, I'm Max. I've heard a lot about you."
Joyce,"Hey. Hey, sweetheart. Hey."
Eleven,"Can I see him?"
Joyce,"He's not doing well."
Eleven,"I know. I saw."
Joyce,"What else did you see? You opened this gate before, right?"
Eleven,"Yes."
Joyce,"Do you think if we got you back there, that you could close it?"
Karen,"Ted! Would you please get that? Ted! Hold on, please. Oh. Hi."
Billy,"Hi."
Karen,"I, uh, didn't realize Nancy had a sister."
Billy,"What's so funny?"
Karen,"I'm Nancy's mother."
Billy,"No."
Karen,"Yes. Mrs. Wheeler."
Billy,"Um, I'm sorry, and you are? Billy. Billy Hargrove."
Karen,"You must be here for Nancy."
Billy,"Nancy? No, no, no. Not my type. Uh... No, actually, I am looking for my little sister Max. Goes by Maxine. She's been missing all day, and, uh, to be honest with you, I've been worried sick, you know, so..."
Karen,"Oh."
Billy,"I thought she was at Lucas', but Mrs. Sinclair said your house is the... the designated hangout, so, you know... Here I am."
Karen,"Their driveway is pretty dark this time of night. So drive slowly."
Billy,"Always."
Karen,"And when you see Mike, tell him to come home already, okay?"
Billy,"You're a real lifesaver, you know that?"
Karen,"Anytime."
Billy,"I'll see you later."
Hopper,"It's not like it was before. It's grown. A lot. And, I mean, that's considering we can get in there. The place is crawling with those dogs."
Dustin,"Demo-dogs."
Hopper,"I'm sorry, what?"
Dustin,"I said, uh, Demo-dogs. Like Demogorgon and dogs. You put them together, it sounds pretty badass..."
Hopper,"How is this important right now?"
Dustin,"It's not. I'm sorry."
Eleven,"I can do it."
Hopper,"You're not hearing me."
Eleven,"I'm hearing you. I can do it."
Mike,"Even if El can, there's still another problem. If the brain dies, the body dies."
Hopper,"I thought that was the whole point."
Mike,"It is, but if we're really right about this... I mean, if El closes the gate and kills the mind flayer's army... Will's a part of that army. Closing the gate will kill him."
Joyce,"He likes it cold."
Hopper,"What?"
Joyce,"It's what Will kept saying to me. He likes it cold. We keep giving it what it wants."
Jonathan,"If this is a virus, and Will's the host, then..."
Joyce,"Then we need to make the host uninhabitable."
Nancy,"So if he likes it cold..."
Joyce,"We need to burn it out of him."
