input,output
name: line,Mike: Eleven.
Mike: Eleven.,Eleven: Mike.
Eleven: Mike.,Mike: Is that... I never gave up on you. I called you every night. Every night for...
Mike: Is that... I never gave up on you. I called you every night. Every night for...,Eleven: 353 days. I heard.
Eleven: 353 days. I heard.,Mike: Why didn't you tell me you were there? That you were okay?
Mike: Why didn't you tell me you were there? That you were okay?,Hopper: Because I wouldn't let her.
Hopper: Because I wouldn't let her.,Mike: The hell is this? Where you been?
Mike: The hell is this? Where you been?,Eleven: Where have you been?
Eleven: Where have you been?,Mike: You've been hiding her. You've been hiding her this whole time!
Mike: You've been hiding her. You've been hiding her this whole time!,Hopper: Hey! Let's talk. Alone.
Hopper: Hey! Let's talk. Alone.,Mike: Protecting her! Protecting her?
Mike: Protecting her! Protecting her?,"Hopper: Listen. Listen to me. The more people know about her, the more danger she's in. And the more danger you and your family are in..."
"Hopper: Listen. Listen to me. The more people know about her, the more danger she's in. And the more danger you and your family are in...",Mike: So I should be thanking you?
Mike: So I should be thanking you?,Hopper: I'm not asking you to thank me! I'm asking you to try to understand.
Hopper: I'm not asking you to thank me! I'm asking you to try to understand.,Mike: I don't! I don't understand!
Mike: I don't! I don't understand!,Hopper: That's fine. That's fine! Just do not blame her! All right? She's upset enough as it is.
Hopper: That's fine. That's fine! Just do not blame her! All right? She's upset enough as it is.,Mike: I don't blame her! I blame you! I blame you!
Mike: I don't blame her! I blame you! I blame you!,"Hopper: That's okay, kid. That's okay."
"Hopper: That's okay, kid. That's okay.",Mike: No! Nothing about this is okay! Nothing about this is okay!
Mike: No! Nothing about this is okay! Nothing about this is okay!,"Hopper: Oh, jeez..."
"Hopper: Oh, jeez...","Mike: You're a stupid, disgusting, lying piece of shit!"
"Mike: You're a stupid, disgusting, lying piece of shit!",Hopper: Okay. All right! Stop it.
Hopper: Okay. All right! Stop it.,Mike: Liar! Liar! Liar!
Mike: Liar! Liar! Liar!,Hopper: Stop it. It's okay.
Hopper: Stop it. It's okay.,Mike: Stop it! Stop it! Liar! Liar!
Mike: Stop it! Stop it! Liar! Liar!,"Hopper: You're okay, kid. You're okay. I'm sorry, kid."
"Hopper: You're okay, kid. You're okay. I'm sorry, kid.",Lucas: We missed you.
Lucas: We missed you.,"Eleven: I missed you, too."
"Eleven: I missed you, too.",Dustin: We talked about you pretty much every day.
Dustin: We talked about you pretty much every day.,Eleven: Teeth.
Eleven: Teeth.,Dustin: What?
Dustin: What?,Eleven: You have teeth.
Eleven: You have teeth.,Dustin: Oh. You like these pearls?
Dustin: Oh. You like these pearls?,"Max: Eleven? Hey. Um, I'm Max. I've heard a lot about you."
"Max: Eleven? Hey. Um, I'm Max. I've heard a lot about you.","Joyce: Hey. Hey, sweetheart. Hey."
"Joyce: Hey. Hey, sweetheart. Hey.",Eleven: Can I see him?
Eleven: Can I see him?,Joyce: He's not doing well.
Joyce: He's not doing well.,Eleven: I know. I saw.
Eleven: I know. I saw.,"Joyce: What else did you see? You opened this gate before, right?"
"Joyce: What else did you see? You opened this gate before, right?",Eleven: Yes.
Eleven: Yes.,"Joyce: Do you think if we got you back there, that you could close it?"
"Joyce: Do you think if we got you back there, that you could close it?","Karen: Ted! Would you please get that? Ted! Hold on, please. Oh. Hi."
"Karen: Ted! Would you please get that? Ted! Hold on, please. Oh. Hi.",Billy: Hi.
Billy: Hi.,"Karen: I, uh, didn't realize Nancy had a sister."
"Karen: I, uh, didn't realize Nancy had a sister.",Billy: What's so funny?
Billy: What's so funny?,Karen: I'm Nancy's mother.
Karen: I'm Nancy's mother.,Billy: No.
Billy: No.,Karen: Yes. Mrs. Wheeler.
Karen: Yes. Mrs. Wheeler.,"Billy: Um, I'm sorry, and you are? Billy. Billy Hargrove."
"Billy: Um, I'm sorry, and you are? Billy. Billy Hargrove.",Karen: You must be here for Nancy.
Karen: You must be here for Nancy.,"Billy: Nancy? No, no, no. Not my type. Uh... No, actually, I am looking for my little sister Max. Goes by Maxine. She's been missing all day, and, uh, to be honest with you, I've been worried sick, you know, so..."
"Billy: Nancy? No, no, no. Not my type. Uh... No, actually, I am looking for my little sister Max. Goes by Maxine. She's been missing all day, and, uh, to be honest with you, I've been worried sick, you know, so...",Karen: Oh.
Karen: Oh.,"Billy: I thought she was at Lucas', but Mrs. Sinclair said your house is the... the designated hangout, so, you know... Here I am."
"Billy: I thought she was at Lucas', but Mrs. Sinclair said your house is the... the designated hangout, so, you know... Here I am.",Karen: Their driveway is pretty dark this time of night. So drive slowly.
Karen: Their driveway is pretty dark this time of night. So drive slowly.,Billy: Always.
Billy: Always.,"Karen: And when you see Mike, tell him to come home already, okay?"
"Karen: And when you see Mike, tell him to come home already, okay?","Billy: You're a real lifesaver, you know that?"
"Billy: You're a real lifesaver, you know that?",Karen: Anytime.
Karen: Anytime.,Billy: I'll see you later.
Billy: I'll see you later.,"Hopper: It's not like it was before. It's grown. A lot. And, I mean, that's considering we can get in there. The place is crawling with those dogs."
"Hopper: It's not like it was before. It's grown. A lot. And, I mean, that's considering we can get in there. The place is crawling with those dogs.",Dustin: Demo-dogs.
Dustin: Demo-dogs.,"Hopper: I'm sorry, what?"
"Hopper: I'm sorry, what?","Dustin: I said, uh, Demo-dogs. Like Demogorgon and dogs. You put them together, it sounds pretty badass..."
"Dustin: I said, uh, Demo-dogs. Like Demogorgon and dogs. You put them together, it sounds pretty badass...",Hopper: How is this important right now?
Hopper: How is this important right now?,Dustin: It's not. I'm sorry.
Dustin: It's not. I'm sorry.,Eleven: I can do it.
Eleven: I can do it.,Hopper: You're not hearing me.
Hopper: You're not hearing me.,Eleven: I'm hearing you. I can do it.
Eleven: I'm hearing you. I can do it.,"Mike: Even if El can, there's still another problem. If the brain dies, the body dies."
"Mike: Even if El can, there's still another problem. If the brain dies, the body dies.",Hopper: I thought that was the whole point.
Hopper: I thought that was the whole point.,"Mike: It is, but if we're really right about this... I mean, if El closes the gate and kills the mind flayer's army... Will's a part of that army. Closing the gate will kill him."
"Mike: It is, but if we're really right about this... I mean, if El closes the gate and kills the mind flayer's army... Will's a part of that army. Closing the gate will kill him.",Joyce: He likes it cold.
Joyce: He likes it cold.,Hopper: What?
Hopper: What?,Joyce: It's what Will kept saying to me. He likes it cold. We keep giving it what it wants.
Joyce: It's what Will kept saying to me. He likes it cold. We keep giving it what it wants.,"Jonathan: If this is a virus, and Will's the host, then..."
"Jonathan: If this is a virus, and Will's the host, then...",Joyce: Then we need to make the host uninhabitable.
Joyce: Then we need to make the host uninhabitable.,Nancy: So if he likes it cold...
Nancy: So if he likes it cold...,Joyce: We need to burn it out of him.
Joyce: We need to burn it out of him.,Jonathan: We have to do it somewhere he doesn't know this time.
Jonathan: We have to do it somewhere he doesn't know this time.,"Hopper: Yeah, somewhere far away. Take Denfield, then you'll see a large oak tree. You're gonna swing a right. That road is gonna dead-end. And it's about a five-minute walk from there."
"Hopper: Yeah, somewhere far away. Take Denfield, then you'll see a large oak tree. You're gonna swing a right. That road is gonna dead-end. And it's about a five-minute walk from there.","Jonathan: Okay. Denfield to oak tree. Swing a right. That's it. But it's channel ten, right?"
"Jonathan: Okay. Denfield to oak tree. Swing a right. That's it. But it's channel ten, right?",Hopper: It's channel ten. Listen... You let me know when that thing is out of him.
Hopper: It's channel ten. Listen... You let me know when that thing is out of him.,Nancy: You should go with him.
Nancy: You should go with him.,Steve: What?
Steve: What?,"Nancy: With Jonathan. No, I'm... I'm not just gonna leave Mike."
"Nancy: With Jonathan. No, I'm... I'm not just gonna leave Mike.","Steve: No one's leaving anyone. I may be a pretty shitty boyfriend, but... turns out I'm actually a pretty damn good babysitter."
"Steve: No one's leaving anyone. I may be a pretty shitty boyfriend, but... turns out I'm actually a pretty damn good babysitter.",Nancy: Steve...
Nancy: Steve...,"Steve: It's okay, Nance. It's okay."
"Steve: It's okay, Nance. It's okay.","Nancy: Just be careful, okay? I can't lose you again."
"Nancy: Just be careful, okay? I can't lose you again.",Steve: You won't lose me.
Steve: You won't lose me.,Nancy: Do you promise?
Nancy: Do you promise?,Steve: Promise.
Steve: Promise.,"Hopper: El... Come on, let's go. It's time."
"Hopper: El... Come on, let's go. It's time.",Eleven: Okay.
Eleven: Okay.,"Hopper: So, what, we're just not gonna talk about it, huh?"
"Hopper: So, what, we're just not gonna talk about it, huh?",Eleven: About what?
Eleven: About what?,"Hopper: Oh, I don't know. I'm just curious, you know, why all of a sudden you look like some kind of MTV punk. I'm not mad, kid. I just want to know where you've been. That's all."
"Hopper: Oh, I don't know. I'm just curious, you know, why all of a sudden you look like some kind of MTV punk. I'm not mad, kid. I just want to know where you've been. That's all.",Eleven: To see Mama.
Eleven: To see Mama.,Hopper: Okay. How'd you get there?
Hopper: Okay. How'd you get there?,Eleven: A truck.
Eleven: A truck.,Hopper: A truck?
Hopper: A truck?,Eleven: A big truck.
Eleven: A big truck.,Hopper: A big truck? Whose truck was it?
Hopper: A big truck? Whose truck was it?,Eleven: A man's.
Eleven: A man's.,Hopper: A man's?
Hopper: A man's?,Eleven: A nice man.
Eleven: A nice man.,"Hopper: Okay. So let me just get this straight in my head. So a nice man in a big truck, he drove you to your mama's, and then what? Your Aunt Becky gave you those clothes and that makeup?"
"Hopper: Okay. So let me just get this straight in my head. So a nice man in a big truck, he drove you to your mama's, and then what? Your Aunt Becky gave you those clothes and that makeup?",Eleven: I... I shouldn't have left.
Eleven: I... I shouldn't have left.,"Hopper: Mmm-mmm. No. No, this isn't on you, kid. I should've been there. I should never have lied to you about your mom. Or about when you could leave. A lot of things I shouldn't have done. Sometimes I feel like I'm... Like I'm just some kind of black hole or something."
"Hopper: Mmm-mmm. No. No, this isn't on you, kid. I should've been there. I should never have lied to you about your mom. Or about when you could leave. A lot of things I shouldn't have done. Sometimes I feel like I'm... Like I'm just some kind of black hole or something.",Eleven: A black hole?
Eleven: A black hole?,"Hopper: Yeah, it's a... You know, it's this thing in outer space. It's like, it sucks everything towards it and destroys it. Sarah had a picture book about outer space. She loved it."
"Hopper: Yeah, it's a... You know, it's this thing in outer space. It's like, it sucks everything towards it and destroys it. Sarah had a picture book about outer space. She loved it.",Eleven: Who's Sarah?
Eleven: Who's Sarah?,Hopper: Sarah? Sarah's my girl. She's my little girl.
Hopper: Sarah? Sarah's my girl. She's my little girl.,Eleven: Where is she?
Eleven: Where is she?,"Hopper: Well, that's kind of the thing, kid. She, uh... She left us."
"Hopper: Well, that's kind of the thing, kid. She, uh... She left us.",Eleven: Gone.
Eleven: Gone.,"Hopper: Yeah. The black hole. It got her. And somehow... I've just been scared, you know? I've just been scared that it would take you, too. I think that's why I get... so mad. I'm so sorry. For everything. I could be so... so..."
"Hopper: Yeah. The black hole. It got her. And somehow... I've just been scared, you know? I've just been scared that it would take you, too. I think that's why I get... so mad. I'm so sorry. For everything. I could be so... so...",Eleven: Stupid?
Eleven: Stupid?,Hopper: Yeah. Stupid. Just really stupid.
Hopper: Yeah. Stupid. Just really stupid.,"Eleven: I've been stupid, too."
"Eleven: I've been stupid, too.","Hopper: I guess we broke our rule. I don't hate it, by the way. This whole... look. It's kinda cool."
"Hopper: I guess we broke our rule. I don't hate it, by the way. This whole... look. It's kinda cool.",Eleven: Bitchin'.
Eleven: Bitchin'.,Hopper: Okay. Sure. Bitchin'.
Hopper: Okay. Sure. Bitchin'.,Steve: All right. It should fit now.
Steve: All right. It should fit now.,Dustin: Is this really necessary?
Dustin: Is this really necessary?,"Steve: Yes, it is, okay? This is a ground-breaking scientific discovery. We can't just bury it like some common mammal, okay? It's not a dog."
"Steve: Yes, it is, okay? This is a ground-breaking scientific discovery. We can't just bury it like some common mammal, okay? It's not a dog.","Dustin: All right, all right, all right."
"Dustin: All right, all right, all right.","Steve: But you're explaining this to Mrs. Byers, all right? Christ. Help me out."
"Steve: But you're explaining this to Mrs. Byers, all right? Christ. Help me out.",Dustin: What am I supposed to do?
Dustin: What am I supposed to do?,"Steve: Get the door, man."
"Steve: Get the door, man.","Dustin: All right, I got the door."
"Dustin: All right, I got the door.","Lucas: Mike, would you just stop already?"
"Lucas: Mike, would you just stop already?","Mike: You weren't in there, okay, Lucas? That lab is swarming with hundreds of those dogs."
"Mike: You weren't in there, okay, Lucas? That lab is swarming with hundreds of those dogs.",Dustin: Demo-dogs!
Dustin: Demo-dogs!,Lucas: The chief will take care of her.
Lucas: The chief will take care of her.,Steve: Like she needs protection.
Steve: Like she needs protection.,"Mike: Listen, dude, a coach calls a play in a game, bottom line, you execute it. All right?"
"Mike: Listen, dude, a coach calls a play in a game, bottom line, you execute it. All right?","Lucas: Okay, first of all, this isn't some stupid sports game. And second, we're not even in the game. We're on the bench."
"Lucas: Okay, first of all, this isn't some stupid sports game. And second, we're not even in the game. We're on the bench.",Mike: So my point is...
Mike: So my point is...,"Steve: Right, yeah, we're on the bench, so, uh, there's nothing we can do."
"Steve: Right, yeah, we're on the bench, so, uh, there's nothing we can do.","Dustin: That's not entirely true. I mean, these Demo-dogs, they have a hive mind. When they ran away from the bus, they were called away."
"Dustin: That's not entirely true. I mean, these Demo-dogs, they have a hive mind. When they ran away from the bus, they were called away.",Lucas: If we get their attention...
Lucas: If we get their attention...,Mike: Maybe we can draw them from the lab.
Mike: Maybe we can draw them from the lab.,Steve: Clear a path to the gate.
Steve: Clear a path to the gate.,"Dustin: Yeah, and then we all die."
"Dustin: Yeah, and then we all die.",Steve: That's one point of view.
Steve: That's one point of view.,"Dustin: No, that's not a point of view, man. That's a fact."
"Dustin: No, that's not a point of view, man. That's a fact.","Mike: I got it! This is where the chief dug his hole. This is our way into the tunnel. So... Here, right here. This is like a hub. So you got all the tunnels feeding in here. Maybe if we set this on fire..."
"Mike: I got it! This is where the chief dug his hole. This is our way into the tunnel. So... Here, right here. This is like a hub. So you got all the tunnels feeding in here. Maybe if we set this on fire...","Steve: Oh, yeah? That's a no."
"Steve: Oh, yeah? That's a no.",Dustin: The mind flayer would call away his army.
Dustin: The mind flayer would call away his army.,Lucas: They'd all come to stop us.
Lucas: They'd all come to stop us.,Mike: We circle back to the exit.
Mike: We circle back to the exit.,Steve: Guys.
Steve: Guys.,Dustin: By the time they realize we're gone...
Dustin: By the time they realize we're gone...,Mike: El would be at the gate.
Mike: El would be at the gate.,Steve: Hey. Hey! Hey! This is not happening.
Steve: Hey. Hey! Hey! This is not happening.,Mike: But...
Mike: But...,"Steve: No, no, no, no, no. No buts. I promised I'd keep you shitheads safe, and that's exactly what I plan on. We're staying here. On the bench. And we're waiting for the starting team to do their job. Does everybody understand?"
"Steve: No, no, no, no, no. No buts. I promised I'd keep you shitheads safe, and that's exactly what I plan on. We're staying here. On the bench. And we're waiting for the starting team to do their job. Does everybody understand?",Mike: This isn't a stupid sports game.
Mike: This isn't a stupid sports game.,Steve: I said does everybody understand that? I need a yes.
Steve: I said does everybody understand that? I need a yes.,Max: It's my brother. He can't know I'm here. He'll kill me. He'll kill us.
Max: It's my brother. He can't know I'm here. He'll kill me. He'll kill us.,"Billy: Am I dreaming, or is that you, Harrington?"
"Billy: Am I dreaming, or is that you, Harrington?","Steve: Yeah, it's me. Don't cream your pants."
"Steve: Yeah, it's me. Don't cream your pants.","Billy: What are you doing here, amigo?"
"Billy: What are you doing here, amigo?",Steve: I could ask you the same thing. Amigo.
Steve: I could ask you the same thing. Amigo.,Billy: Looking for my stepsister. A little birdie told me she was here.
Billy: Looking for my stepsister. A little birdie told me she was here.,"Steve: Huh, that's weird. I don't know her."
"Steve: Huh, that's weird. I don't know her.",Billy: Small? Redhead? Bit of a bitch.
Billy: Small? Redhead? Bit of a bitch.,"Steve: Doesn't ring a bell. Sorry, buddy."
"Steve: Doesn't ring a bell. Sorry, buddy.","Billy: You know, I don't know, this... This whole situation, Harrington, I don't know. It's giving me the heebie-jeebies."
"Billy: You know, I don't know, this... This whole situation, Harrington, I don't know. It's giving me the heebie-jeebies.","Steve: Oh, yeah? Why's that?"
"Steve: Oh, yeah? Why's that?",Billy: My 13-year-old sister goes missing all day. And then I find her with you in a stranger's house. And you lie to me about it.
Billy: My 13-year-old sister goes missing all day. And then I find her with you in a stranger's house. And you lie to me about it.,"Steve: Man, were you dropped too much as a child, or what? I don't know what you don't understand about what I just said. She's not here."
"Steve: Man, were you dropped too much as a child, or what? I don't know what you don't understand about what I just said. She's not here.",Billy: Then who is that?
Billy: Then who is that?,Mike: Shit! Did he see us?
Mike: Shit! Did he see us?,"Steve: Oh, shit. Listen..."
"Steve: Oh, shit. Listen...",Billy: I told you to plant your feet.
Billy: I told you to plant your feet.,"Billy: Well, well, well. Lucas Sinclair. What a surprise. I thought I told you to stay away from him, Max."
"Billy: Well, well, well. Lucas Sinclair. What a surprise. I thought I told you to stay away from him, Max.","Max: Billy, go away."
"Max: Billy, go away.",Billy: You disobeyed me. And you know what happens when you disobey me.
Billy: You disobeyed me. And you know what happens when you disobey me.,Max: Billy...
Max: Billy...,Billy: I break things.
Billy: I break things.,Max: Billy! Stop! Billy! Stop!
Max: Billy! Stop! Billy! Stop!,"Lucas: Get off of me, you..."
"Lucas: Get off of me, you...","Billy: Since Maxine won't listen to me, maybe you will. You stay away from her. Stay away from her! You hear me?"
"Billy: Since Maxine won't listen to me, maybe you will. You stay away from her. Stay away from her! You hear me?",Lucas: I said get off me!
Lucas: I said get off me!,"Billy: So dead, Sinclair! You're dead."
"Billy: So dead, Sinclair! You're dead.",Max: No. You are.
Max: No. You are.,Max: Steve!
Max: Steve!,"Billy: Looks like you got some fire in you after all, huh? I've been waiting to meet this King Steve everybody's been telling me so much about."
"Billy: Looks like you got some fire in you after all, huh? I've been waiting to meet this King Steve everybody's been telling me so much about.",Steve: Get out.
Steve: Get out.,"Dustin: Yes! Kick his ass, Steve!"
"Dustin: Yes! Kick his ass, Steve!",Mike: Get him!
Mike: Get him!,Dustin: Murder the son of a bitch! Now! Now!
Dustin: Murder the son of a bitch! Now! Now!,Mike: Get that shithead!
Mike: Get that shithead!,Dustin: Kill the son of a bitch!
Dustin: Kill the son of a bitch!,Lucas: Steve!
Lucas: Steve!,Max: Billy!
Max: Billy!,Mike: Holy shit!
Mike: Holy shit!,Billy: No one tells me what to do! Whoo! Get up!
Billy: No one tells me what to do! Whoo! Get up!,Dustin: You're gonna kill him.
Dustin: You're gonna kill him.,"Billy: The hell is this? You little shit, what did you do? What did you do?"
"Billy: The hell is this? You little shit, what did you do? What did you do?",Mike: Shit.
Mike: Shit.,"Max: From here on out, you leave me and my friends alone. Do you understand?"
"Max: From here on out, you leave me and my friends alone. Do you understand?",Billy: Screw you.
Billy: Screw you.,Max: Say you understand! Say it! Say it!
Max: Say you understand! Say it! Say it!,Billy: I understand.
Billy: I understand.,Max: What?
Max: What?,Billy: I understand.
Billy: I understand.,Max: Let's get out of here.
Max: Let's get out of here.,Jonathan: It's actually kinda nice.
Jonathan: It's actually kinda nice.,Joyce: We'll do it here.
Joyce: We'll do it here.,Jonathan: Are you sure this is a good idea?
Jonathan: Are you sure this is a good idea?,Joyce: This thing has had Will long enough. Let's kill the son of a bitch.
Joyce: This thing has had Will long enough. Let's kill the son of a bitch.,Eleven: Papa!
Eleven: Papa!,"Hopper: All right. You let me do the heavy lifting up front, all right? You save your strength till we're below. You okay?"
"Hopper: All right. You let me do the heavy lifting up front, all right? You save your strength till we're below. You okay?","Dustin: Nancy? No, don't touch it. Hey, buddy... It's okay. You put up a good fight. He kicked your ass, but you put up a fight. You're okay."
"Dustin: Nancy? No, don't touch it. Hey, buddy... It's okay. You put up a good fight. He kicked your ass, but you put up a fight. You're okay.","Lucas: Okay, you're gonna keep straight for a half a mile, then make a left on Mount Sinai."
"Lucas: Okay, you're gonna keep straight for a half a mile, then make a left on Mount Sinai.","Steve: What's going on? Oh, my God!"
"Steve: What's going on? Oh, my God!",Max: Just relax. She's driven before.
Max: Just relax. She's driven before.,"Mike: Yeah, in a parking lot."
"Mike: Yeah, in a parking lot.",Lucas: That counts.
Lucas: That counts.,Dustin: They were gonna leave you behind.
Dustin: They were gonna leave you behind.,"Steve: Oh, my God."
"Steve: Oh, my God.","Dustin: I promised that you'd be cool, okay?"
"Dustin: I promised that you'd be cool, okay?","Steve: Whoa, whoa, whoa, whoa. What's going on? Oh, my God. No! Whoa! Stop the car. Slow down."
"Steve: Whoa, whoa, whoa, whoa. What's going on? Oh, my God. No! Whoa! Stop the car. Slow down.",Mike: I told you he'd freak out.
Mike: I told you he'd freak out.,Steve: Stop the car!
Steve: Stop the car!,Max: Everybody shut up! I'm trying to focus!
Max: Everybody shut up! I'm trying to focus!,"Lucas: Oh, wait, that's Mount Sinai. Make a left."
"Lucas: Oh, wait, that's Mount Sinai. Make a left.",Mike: What?
Mike: What?,Lucas: Make a left.
Lucas: Make a left.,Will: What's happening? It hurts. It hurts! It hurts! It hurts! Let me go! Let me go! It hurts! It hurts! Let me go! Let me go! It hurts!
